frequency;V(/Different_topology/VOUT) (phase);V(/Different_topology/VOUT) (gain);
1.51356e+07;83.9261;125.272;
1.54882e+07;84.7191;124.686;
1.58489e+07;85.47;124.099;
1.62181e+07;86.1814;123.509;
1.65959e+07;86.8558;122.918;
1.69824e+07;87.4956;122.326;
1.7378e+07;88.1032;121.732;
1.77828e+07;88.6808;121.138;
1.8197e+07;89.2304;120.542;
1.86209e+07;89.7541;119.946;
1.90546e+07;90.2538;119.35;
1.94984e+07;90.7312;118.753;
1.99526e+07;91.188;118.156;
2.04174e+07;91.6259;117.558;
2.0893e+07;92.0463;116.96;
2.13796e+07;92.4506;116.362;
2.18776e+07;92.8402;115.764;
2.23872e+07;93.2163;115.166;
2.29087e+07;93.5801;114.568;
2.34423e+07;93.9327;113.97;
2.39883e+07;94.2752;113.371;
2.45471e+07;94.6084;112.773;
2.51189e+07;94.9334;112.175;
2.5704e+07;95.251;111.577;
2.63027e+07;95.5621;110.979;
2.69153e+07;95.8673;110.382;
2.75423e+07;96.1674;109.784;
2.81838e+07;96.4631;109.187;
2.88403e+07;96.7551;108.59;
2.95121e+07;97.0439;107.993;
3.01995e+07;97.3301;107.396;
3.0903e+07;97.6143;106.8;
3.16228e+07;97.8969;106.203;
3.23594e+07;98.1785;105.607;
3.31131e+07;98.4595;105.011;
3.38844e+07;98.7404;104.416;
3.46737e+07;99.0215;103.821;
3.54813e+07;99.3032;103.226;
3.63078e+07;99.586;102.631;
3.71535e+07;99.8701;102.037;
3.80189e+07;100.156;101.443;
3.89045e+07;100.444;100.849;
3.98107e+07;100.734;100.256;
4.0738e+07;101.027;99.6628;
4.16869e+07;101.323;99.0703;
4.2658e+07;101.622;98.4781;
4.36516e+07;101.924;97.8863;
4.46684e+07;102.23;97.295;
4.57088e+07;102.54;96.7041;
4.67735e+07;102.854;96.1137;
4.7863e+07;103.173;95.5238;
4.89779e+07;103.496;94.9343;
5.01187e+07;103.823;94.3454;
5.12861e+07;104.156;93.757;
5.24807e+07;104.494;93.1691;
